MTS25	Tensile stress
-0.0001	-1.2856
0.0009	-0.4897
0.004	2.0526
0.0072	4.2717
0.0092	5.8094
0.0106	6.8065
0.0129	8.6712
0.0154	10.5219
0.0172	11.6514
0.0189	13.2512
0.0214	14.916
0.0229	15.8911
0.0255	18.2072
0.0277	19.839
0.0288	20.5836
0.0306	21.9046
0.0331	23.4774
0.0352	25.7189
0.0368	26.7314
0.039	27.8781
0.0412	29.5927
0.0428	31.2042
0.0456	32.8673
0.0468	33.9826
0.0482	34.8493
0.0503	36.5949
0.0529	38.4709
0.0544	39.4218
0.0563	40.462
0.0586	42.9571
0.0602	43.8194
0.0624	45.2747
0.0648	46.9217
0.0658	47.8826
0.0674	49.0328
0.0698	50.8586
0.0719	52.272
0.0732	53.2809
0.0752	55.0993
0.0775	56.5149
0.0791	57.336
0.0817	59.5169
0.0831	60.4827
0.0844	61.387
0.0864	62.91
0.0889	64.8042
0.0904	65.4948
0.0919	67.3761
0.0944	68.685
0.0962	69.8893
0.0982	71.3556
0.1003	72.9668
0.1014	73.6359
0.103	75.0122
0.1052	76.6235
0.1074	78.0715
0.1087	79.3959
0.1105	80.2699
0.1127	81.9734
0.1144	83.4332
0.1168	85.049
0.1182	85.822
0.1193	86.8907
0.1214	88.1817
0.1236	89.8951
0.1253	91.0884
0.1268	92.232
0.1289	93.7417
0.1307	95.1535
0.1331	96.4158
0.1349	98.3726
0.1359	98.4565
0.1374	100.0758
0.1396	101.5697
0.1421	103.125
0.1432	104.2522
0.1447	104.8641
0.1472	106.9753
0.149	108.1709
0.1516	110.2899
0.1526	110.6495
0.1537	111.5002
0.1555	112.8249
0.1582	114.6897
0.1598	115.9686
0.1613	116.8231
0.1631	118.5444
0.1652	119.5248
0.167	121.0242
0.1693	122.7198
0.1702	123.1896
0.1718	124.4636
0.1738	125.8342
0.1763	127.4065
0.1774	128.5134
0.179	129.3397
0.1814	131.4796
0.183	132.3504
0.1854	134.1412
0.1865	135.2542
0.1876	135.5647
0.1894	137.0048
0.1916	138.4309
0.1935	139.8017
0.195	141.0178
0.1969	142.3026
0.1988	143.7881
0.2004	144.8768
0.2027	146.2968
0.2037	147.201
0.2049	147.9111
0.2073	149.7033
0.2096	151.6612
0.2108	152.1618
0.2123	153.2723
0.2147	155.0063
0.2161	155.9864
0.2185	157.6776
0.22	158.3374
0.2211	159.4519
0.2227	160.4403
0.2252	162.1
0.2267	163.3194
0.228	164.2729
0.2301	165.7252
0.2318	166.8629
0.2336	168.5871
0.2359	169.8279
0.2366	170.2484
0.2379	171.0647
0.2398	172.5117
0.2422	174.4648
0.2434	175.176
0.2452	176.5105
0.2474	177.8368
0.2486	178.9119
0.251	180.862
0.2524	181.6579
0.2534	182.1352
0.255	183.0435
0.2574	185.2017
0.2591	186.3447
0.2604	187.1049
0.2623	188.5364
0.2641	189.9286
0.2659	191.1572
0.2683	193.0616
0.2691	193.4785
0.2703	194.127
0.2722	195.1484
0.2744	197.088
0.2758	198.1712
0.2773	199.0082
0.2795	200.7468
0.2808	201.7579
0.2832	203.233
0.2846	204.0324
0.2855	204.9597
0.287	205.9516
0.2896	207.4503
0.2913	208.9942
0.2925	209.7117
0.2943	210.8665
0.2961	212.2707
0.2979	213.3858
0.3001	214.9358
0.3008	215.4213
0.3021	216.1743
0.3041	217.8652
0.3063	219.1493
0.3073	219.8007
0.3091	220.9335
0.3111	222.7598
0.3124	223.6592
0.3147	225.3012
0.3163	226.401
0.3171	226.8311
0.3187	227.7316
0.321	229.5769
0.3228	230.9715
0.324	231.4034
0.3257	232.5176
0.3276	234.0149
0.3293	235.417
0.3317	236.8554
0.3325	237.1069
0.3336	237.8572
0.3355	239.4803
0.3379	241.1487
0.3391	242.3122
0.3406	243.1918
0.3426	243.8823
0.3439	244.7507
0.3461	246.8429
0.3477	248.1751
0.3484	248.3752
0.3501	249.1757
0.3522	251.0587
0.3538	252.1562
0.355	252.8637
0.3569	254.2358
0.3585	255.3373
0.3599	255.977
0.3627	258.2786
0.3633	258.7332
0.3645	259.7631
0.3664	260.4682
0.3684	261.7791
0.3697	262.7893
0.3712	264.3414
0.3733	265.3655
0.3745	266.3527
0.3768	267.8818
0.3785	268.5784
0.3794	269.1185
0.3809	270.4633
0.383	272.0858
0.3849	272.8791
0.386	273.5915
0.3879	275.111
0.3896	276.6601
0.3909	276.9384
0.3936	279.049
0.3944	279.3574
0.3955	280.332
0.3974	281.2297
0.3995	282.7208
0.401	283.8756
0.4023	284.9961
0.4045	285.7068
0.4056	286.8561
0.4076	288.4155
0.4095	289.3573
0.4103	289.8828
0.4117	291.2807
0.4138	292.6374
0.416	293.2883
0.417	293.8329
0.4187	295.1357
0.4207	297.1357
0.422	297.6896
0.4244	299.0652
0.4254	299.6785
0.4264	300.6559
0.4283	301.8308
0.4305	303.3603
0.4319	303.9389
0.4332	304.9585
0.4355	305.8547
0.4367	307.2296
0.4387	308.707
0.4407	309.9944
0.4415	309.9788
0.4429	310.4483
0.4451	312.605
0.4471	314.1434
0.4481	314.5027
0.4498	315.7417
0.4521	316.6374
0.4535	317.5699
0.4559	318.7432
0.4571	319.7991
0.4579	320.5947
0.46	321.9224
0.4622	322.4185
0.4636	324.1268
0.4651	324.8203
0.4672	326.4951
0.469	326.925
0.4709	328.0229
0.4728	329.3812
0.4735	329.9531
0.4749	330.4533
0.4771	332.3592
0.4792	333.5801
0.4802	334.0708
0.4817	334.7262
0.4842	336.4636
0.4856	337.3988
0.4882	338.7704
0.4891	338.9057
0.4902	339.6627
0.4919	340.7973
0.4944	342.6873
0.496	343.1086
0.4976	343.7629
0.4992	345.0203
0.5012	346.6888
0.5033	347.1111
0.5052	348.8919
0.5065	349.1971
0.5079	350.0651
0.5098	351.0324
0.5122	352.1802
0.5134	352.726
0.515	353.9316
0.5175	355.0812
0.5189	355.5873
0.5212	357.7637
0.5225	358.342
0.5236	358.9262
0.5254	359.5159
0.5278	360.7055
0.5296	361.758
0.5309	362.8234
0.5329	363.6607
0.5347	364.6501
0.5364	365.7755
0.5389	366.9684
0.54	367.1424
0.5413	367.8419
0.5435	369.1984
0.5458	370.7902
0.547	371.3721
0.5488	371.6944
0.5513	373.042
0.5528	374.0803
0.5553	375.6368
0.5567	376.0353
0.558	376.4418
0.5596	377.2007
0.5621	378.3107
0.5641	379.6031
0.5656	380.1526
0.5679	381.3957
0.5697	382.6171
0.5715	383.299
0.5742	384.1027
0.5751	384.2366
0.5768	384.9809
0.5789	386.4905
0.5814	388.1283
0.5829	388.3715
0.5847	388.6999
0.5873	390.2871
0.5886	390.7575
0.5914	392.2091
0.593	392.8673
0.5941	393.1296
0.596	393.9308
0.5987	395.0992
0.6005	395.9774
0.6021	396.4932
0.6044	397.3996
0.6066	398.7421
0.6087	399.6862
0.6113	400.5371
0.6123	400.579
0.6139	401.031
0.6163	402.0836
0.6191	403.485
0.6207	404.1091
0.6226	404.8581
0.6255	405.7078
0.627	406.0709
0.63	407.6378
0.632	408.1223
0.6333	408.5355
0.6354	409.0369
0.6382	410.4311
0.6405	411.2696
0.6422	411.6633
0.6446	412.5192
0.6471	413.1564
0.6493	414.0871
0.6524	415.5408
0.6537	415.534
0.6555	415.8246
0.658	416.7787
0.661	417.574
0.663	417.6956
0.6651	418.5403
0.668	420.0034
0.6701	420.2603
0.6734	421.348
0.6758	421.6871
0.6773	421.8716
