MTS25	Tensile Strength
-0.0001	0.1971
0.0019	1.3932
0.0035	2.9209
0.0049	4.0893
0.0066	5.3783
0.0086	6.7284
0.0097	8.335
0.0111	9.1774
0.0132	10.7369
0.0143	11.792
0.0161	13.4396
0.0174	14.5314
0.0183	14.9914
0.0197	16.3465
0.0214	17.46
0.0229	18.5663
0.0239	19.5539
0.0252	20.863
0.027	21.9903
0.0283	22.8901
0.0304	24.8179
0.0308	25.1929
0.032	26.1634
0.0335	27.259
0.0354	28.7205
0.0362	29.4941
0.0377	30.5094
0.0396	32.2854
0.0405	32.9169
0.0425	34.2803
0.0434	35.2558
0.0444	35.9869
0.0457	37.1037
0.0475	38.399
0.0492	39.5008
0.0498	40.447
0.0512	41.612
0.0527	42.6647
0.0542	43.8477
0.0559	45.6008
0.0567	46.0395
0.0575	46.7594
0.0593	48.2377
0.0609	49.6664
0.0619	50.207
0.0631	51.2401
0.0649	52.8562
0.0657	53.6352
0.0676	54.7592
0.0688	55.9485
0.0696	56.6667
0.0709	57.9432
0.0725	58.9165
0.0741	60.0662
0.0749	60.8658
0.0764	62.1631
0.0778	63.3376
0.079	64.4193
0.0809	65.7427
0.0815	66.0366
0.0825	66.6615
0.0838	68.0417
0.0855	69.9057
0.0862	70.3858
0.0872	70.7506
0.0888	72.1723
0.0892	72.8593
0.091	74.4302
0.0922	75.146
0.0926	75.5221
0.0936	76.343
0.095	77.5443
0.0963	78.5293
0.0966	78.9654
0.0981	80.2743
0.0993	81.5374
0.1001	82.1992
0.1019	82.8779
0.1019	83.1241
0.1026	84.0163
0.104	85.3627
0.1054	86.8033
0.1061	87.0989
0.1069	87.8224
0.1085	88.7523
0.1088	89.4402
0.1104	90.696
0.1115	91.3732
0.1116	91.6791
0.1125	92.6887
0.1141	93.9367
0.1151	94.4931
0.1158	94.8075
0.1168	95.8779
0.118	97.0472
0.1186	97.7653
0.1203	98.9178
0.1209	99.0112
0.1213	99.33
0.1226	100.5115
0.124	101.7792
0.1245	102.3371
0.1254	103.0178
0.1268	103.8066
0.1274	104.5647
0.1286	105.6232
0.1297	106.47
0.1301	106.586
0.1311	106.884
0.1324	108.4533
0.1337	109.2403
0.134	109.6987
0.1352	110.6882
0.1363	111.2832
0.137	111.8278
0.1387	113.0297
0.1389	113.3376
0.1395	113.9739
0.1407	115.0249
0.1423	115.4401
0.1427	116.0292
0.1435	117.0035
0.1448	118.0867
0.1456	118.5519
0.1468	119.1744
0.1479	120.0267
0.1482	120.3162
0.1489	121.0253
0.1505	122.2512
0.1513	123.2418
0.1519	123.4056
0.153	123.8925
0.1542	125.0264
0.1549	125.3152
0.1562	126.7609
0.1567	126.9115
0.1573	127.0084
0.1584	127.8988
0.1597	129.3497
0.1602	129.558
0.1612	130.4597
0.1625	131.1819
0.1632	131.3462
0.1642	132.2775
0.1653	133.1446
0.1655	133.2229
0.1662	134.4186
0.1678	135.4428
0.1688	135.903
0.1692	136.1994
0.1702	137.0875
0.1715	137.8833
0.1721	138.4938
0.1733	139.2921
0.1739	139.5813
0.1744	139.9374
0.1756	141.2398
0.177	142.2354
0.1774	142.6738
0.1781	142.9878
0.1797	143.5867
0.1802	144.4687
0.1813	145.4537
0.1825	146.3822
0.1825	146.6349
0.1832	147.3844
0.1848	147.8513
0.186	148.3635
0.1862	148.6901
0.1876	149.5455
0.1887	151.1499
0.1893	151.2597
0.1905	152.0437
0.191	152.6634
0.1916	153.2426
0.1927	153.7973
0.194	154.663
0.1947	155.1913
0.1957	155.6517
0.1966	156.5555
0.1976	157.3501
0.1984	158.0852
0.1999	159.5336
0.2	159.5624
0.2007	159.6665
0.2023	160.1747
0.2032	161.4604
0.2039	161.8352
0.2049	162.6602
0.2061	163.8078
0.2069	164.0963
0.2082	165.0651
0.2087	165.3801
0.2092	165.6329
0.2103	166.4833
0.2115	167.6178
0.2125	168.0439
0.2134	168.757
0.2142	169.8534
0.2155	170.4833
0.2161	171.1551
0.2176	171.7953
0.218	171.8481
0.2186	172.427
0.22	173.5817
0.2211	174.9227
0.2217	175.4544
0.2226	175.9053
0.2241	176.6221
0.2248	177.3078
0.2265	178.5264
0.2269	179.0183
0.2274	179.4153
0.2284	180.1671
0.2299	181.1085
0.2309	181.8118
0.2315	182.3355
0.2329	183.41
0.2341	184.0071
0.2347	184.4207
0.2365	186.146
0.2367	186.1842
0.2375	186.7078
0.2387	187.6342
0.2401	188.5413
0.2406	188.9468
0.2415	189.6835
0.2432	190.9538
0.2437	191.4044
0.2453	192.3442
0.246	192.7463
0.2464	193.0684
0.2475	194.0266
0.2491	195.3674
0.25	195.9483
0.2508	196.2265
0.252	196.9638
0.2531	197.9233
0.254	198.6086
0.2558	200.0888
0.2558	200.1445
0.2564	200.5735
0.2579	201.6035
0.2594	202.7956
0.2599	203.1593
0.2609	203.8289
0.2625	204.7495
0.2631	205.1609
0.2645	206.6668
0.2653	207.1825
0.2658	207.5875
0.2669	208.3062
0.2683	208.9717
0.2696	209.7322
0.2699	210.2577
0.2712	211.3928
0.2725	212.3081
0.2732	212.7605
0.2748	213.9619
0.275	214.0084
0.2757	214.4797
0.2772	215.4645
0.2786	216.5591
0.279	216.8589
0.28	217.6803
0.2814	218.9166
0.282	219.2543
0.2837	220.2755
0.2845	220.5841
0.2846	220.7495
0.2856	221.4926
0.2874	223.0462
0.2885	223.7751
0.2889	224.2056
0.2902	224.9448
0.2914	225.6503
0.2919	226.0621
0.294	227.4974
0.294	227.5664
0.2947	227.9251
0.2959	229.1501
0.2975	230.1606
0.2978	230.4548
0.299	231.2832
0.3003	232.1154
0.3008	232.3905
0.3022	233.4158
0.3034	234.138
0.3035	234.3649
0.3044	235.4552
0.3061	236.3711
0.3071	236.9633
0.3077	237.2711
0.3089	238.0974
0.31	239.1199
0.3107	239.5975
0.3126	241.107
0.3127	241.266
0.3134	241.5842
0.3146	242.3436
0.3163	243.6432
0.3168	243.9594
0.3176	244.5038
0.3191	245.4878
0.3198	245.9071
0.3212	247.205
0.3222	247.883
0.3225	247.9323
0.3236	248.5549
0.325	249.632
0.326	250.3934
0.3268	251.0908
0.3281	251.8146
0.329	252.6391
0.3298	253.2719
0.3315	254.228
0.332	254.428
0.3325	254.8505
0.3337	256.0374
0.3356	257.1255
0.336	257.3871
0.3367	258.0249
0.3384	259.1779
0.3389	259.8214
0.3403	260.4047
0.3415	261.2256
0.3415	261.4843
0.3425	262.2288
0.3441	263.1831
0.3454	264.0905
0.3457	264.3837
0.3471	265.4526
0.3484	266.0712
0.3491	266.4771
0.3507	268.1935
0.351	268.2777
0.3516	268.5782
0.3529	269.3061
0.3545	270.3915
0.3552	270.8301
0.356	271.6548
0.3573	272.4443
0.3583	273.1192
0.3594	274.0804
0.3607	274.614
0.3611	274.953
0.362	275.6664
0.3634	276.7722
0.3648	277.6126
0.3653	277.8859
0.3664	278.6384
0.3678	279.7434
0.3685	280.3426
0.3701	281.1347
0.3707	281.5108
0.3712	281.9813
0.3724	282.5739
0.374	284.0681
0.3748	284.4544
0.3756	284.9517
0.3771	286.1753
0.3781	286.6508
0.3791	287.3926
0.3802	288.2637
0.3807	288.4339
0.3816	289.0715
0.3832	290.295
0.3846	290.885
0.385	291.3286
0.3862	292.5057
