MTS25	Tensile stress
-0.0002	0.088
0.0029	2.4873
0.0045	3.7202
0.0068	5.5497
0.0095	7.4921
0.0119	9.4204
0.0133	10.4369
0.0157	12.1316
0.0176	13.8941
0.0197	15.1937
0.0223	17.1584
0.0234	18.2525
0.0252	19.4827
0.0274	21.3142
0.03	22.9809
0.0311	24.0222
0.0332	25.8094
0.0356	27.362
0.0371	28.3701
0.0396	30.977
0.0413	31.9516
0.0425	32.6725
0.0444	34.4016
0.0469	36.256
0.0489	37.7552
0.0502	38.7338
0.0525	40.0306
0.0547	42.283
0.0567	43.6891
0.0589	45.2182
0.0602	46.1158
0.0615	47.102
0.0638	48.8104
0.0663	50.8425
0.0677	51.5961
0.0693	52.9857
0.0722	55.1991
0.0736	56.2174
0.076	58.0513
0.0775	59.271
0.0786	59.9237
0.0804	61.34
0.0831	63.1052
0.085	64.7871
0.0864	65.4383
0.0884	67.5035
0.0903	68.5858
0.0921	70.1001
0.0946	71.8099
0.0957	72.7147
0.097	73.5866
0.0992	75.5936
0.1017	77.255
0.103	77.8628
0.1046	79.61
0.1071	81.2653
0.1087	82.0971
0.111	84.1095
0.1126	85.279
0.1137	85.9675
0.1153	87.4886
0.1178	89.1378
0.1199	90.3734
0.1212	91.9976
0.1232	93.129
0.1252	94.5723
0.1269	95.8116
0.1293	97.9072
0.1304	98.4005
0.1318	99.436
0.1339	101.0746
0.1363	102.7029
0.1379	104.1055
0.1393	104.6929
0.1415	106.7622
0.1432	107.6952
0.1455	109.5998
0.1474	110.635
0.1483	111.4321
0.1499	112.7374
0.1524	114.4121
0.1541	116.0153
0.1555	116.7823
0.1574	118.3864
0.1595	119.7415
0.1608	120.9812
0.1636	122.8883
0.1645	123.2216
0.1658	124.6419
0.1678	125.8326
0.1702	127.5552
0.1714	128.7885
0.1731	129.5782
0.1754	131.6776
0.177	132.5965
0.1792	134.3431
0.1809	135.3226
0.182	136.1346
0.1836	137.4749
0.1861	139.0605
0.1881	140.7906
0.1892	141.3348
0.1911	143.2449
0.1932	144.3861
0.1948	145.6236
0.1973	147.4605
0.1984	147.8837
0.1995	149.1489
0.2014	150.1548
0.2038	152.1824
0.2052	153.1651
0.2068	154.2186
0.209	156.0095
0.2105	157.1733
0.2126	158.4732
0.2144	159.8526
0.2153	160.4713
0.2169	161.6876
0.2192	163.2643
0.2212	164.8594
0.2225	165.7208
0.224	166.8928
0.2264	168.8155
0.2279	169.5831
0.2305	171.2055
0.2314	172.0232
0.2325	172.81
0.2343	174.4211
0.237	176.3304
0.2384	177.2046
0.2397	177.9469
0.2419	179.7853
0.2432	180.9027
0.2454	182.205
0.2474	183.4572
0.2484	184.385
0.2496	185.5097
0.2518	186.8616
0.254	188.5699
0.2551	189.1416
0.2571	190.5797
0.259	192.343
0.2605	193.2736
0.2631	194.6356
0.2641	195.3077
0.2652	196.3743
0.2671	197.9241
0.2695	199.4659
0.271	200.5118
0.2723	201.7216
0.2746	202.9539
0.2758	203.8541
0.2781	205.4864
0.2799	206.6628
0.2807	207.3886
0.2822	208.422
0.2845	210.1364
0.2864	211.3548
0.2876	212.3143
0.2893	213.6176
0.2914	214.8739
0.2926	215.8038
0.2951	217.8615
0.2964	218.6959
0.2973	218.9937
0.2993	220.2329
0.3016	222.0539
0.303	223.0722
0.3046	224.1901
0.3068	225.6274
0.3081	226.6124
0.3101	227.6877
0.3124	229.478
0.3131	230.1996
0.3146	231.1097
0.3166	232.008
0.3189	233.8621
0.3202	235.0091
0.3219	236.0452
0.3239	237.067
0.3252	237.847
0.3277	239.7276
0.329	240.5939
0.3299	241.4868
0.3318	242.9192
0.3342	243.6833
0.3357	244.961
0.3372	246.1063
0.3394	247.9398
0.3408	248.3903
0.3428	249.424
0.3452	251.3689
0.3461	251.8649
0.3474	252.4898
0.3497	254.1476
0.3518	255.4809
0.3529	255.8793
0.3548	257.204
0.357	258.9006
0.3584	259.9903
0.3608	260.684
0.3623	261.6389
0.3633	262.2094
0.3651	264.1304
0.3675	265.1708
0.3694	266.4066
0.3707	267.2603
0.3728	268.3539
0.3747	269.2354
0.3765	270.5462
0.3789	272.2759
0.38	272.5338
0.3812	272.976
0.3838	274.6046
0.3862	276.6071
0.3874	276.6741
0.3892	277.3718
0.3917	279.1969
0.3933	280.1821
0.3957	281.2237
0.3974	282.2564
0.3986	282.6357
0.4006	284.0599
0.4031	285.1044
0.4048	285.9105
0.4062	286.8366
0.4084	288.3179
0.4106	289.1451
0.4129	290.5803
0.415	291.8426
0.4162	292.2599
0.4176	292.9175
0.42	293.4403
0.4225	295.0054
0.4239	295.7281
0.4258	297.0802
0.4286	297.9485
0.4304	298.8485
0.4332	300.598
0.4348	301.1723
0.4362	301.6518
0.4381	302.2165
0.4408	303.852
0.4431	304.7407
0.4445	305.0741
0.4468	305.6534
0.4494	307.429
0.4512	308.205
0.4543	309.9428
0.4555	309.9357
0.4574	309.9619
0.4597	310.9795
0.4626	313.1075
0.4644	313.4829
0.4665	314.2405
0.4694	315.5739
0.4713	315.936
0.4742	316.8857
0.4763	317.501
0.4778	317.6445
0.4799	318.3441
0.4827	319.9894
0.4855	321.1793
0.4875	321.7356
0.4899	321.8882
0.4923	322.2837
0.4948	323.7249
0.4979	325.2647
0.4997	325.3191
0.5017	325.902
0.5043	326.6358
