MTS25	Tensile Strength
-0.0004	0.0701
0.0026	2.468
0.0049	4.0043
0.0076	6.2114
0.0088	6.9481
0.0101	8.1988
0.0125	10.0375
0.0149	11.5702
0.0163	12.7301
0.0181	14.3584
0.0205	15.6833
0.0219	16.9211
0.0246	19.0466
0.0261	20.3275
0.0275	21.279
0.0294	22.5216
0.0319	24.2819
0.0336	26.0391
0.0352	27.0272
0.0373	28.1534
0.0393	29.919
0.0411	31.5742
0.0438	33.2773
0.0447	34.0271
0.046	34.9763
0.0484	36.7846
0.0509	38.6539
0.0523	39.4576
0.0541	40.5545
0.0563	43.0236
0.0578	43.7751
0.0601	45.3967
0.0619	46.7003
0.0631	47.576
0.0647	48.8603
0.0674	50.8462
0.0693	51.907
0.0706	53.1495
0.0726	54.9925
0.0746	56.1039
0.0762	57.1222
0.0789	59.5465
0.0799	59.9699
0.0812	61.2156
0.0833	62.6009
0.086	64.5512
0.0871	65.2991
0.0889	66.8767
0.0911	68.4197
0.0925	69.4195
0.095	71.3107
0.0968	72.4379
0.0976	73.153
0.0994	74.086
0.1018	76.3387
0.1037	77.6626
0.105	78.4947
0.107	80.0187
0.1089	81.5154
0.1103	82.4001
0.1129	84.5723
0.1138	85.2848
0.1153	86.1369
0.1173	87.9066
0.1197	89.5308
0.1209	90.2975
0.1228	92.1348
0.1249	93.4234
0.1264	94.3832
0.1286	96.0521
0.1305	97.2674
0.1315	98.3917
0.1333	99.0798
0.1355	101.0907
0.1374	102.3869
0.1389	103.4567
0.1407	104.8184
0.1427	106.3888
0.1442	107.3913
0.1468	109.4345
0.1479	110.3006
0.1491	111.046
0.151	112.7512
0.1534	114.1471
0.1546	115.2158
0.1564	116.5402
0.1585	118.0553
0.1601	119.3259
0.162	120.8637
0.164	121.85
0.1649	122.8416
0.1666	123.7404
0.1688	125.6302
0.1708	127.2879
0.1719	127.761
0.1737	129.2868
0.1759	130.7463
0.1776	132.0693
0.1799	133.7679
0.1812	134.5747
0.1823	135.7408
0.1842	136.8223
0.1866	138.3384
0.1879	139.4455
0.1891	140.4795
0.1914	142.0295
0.1932	143.9748
0.1953	145.0171
0.197	146.4896
0.1981	146.8164
0.1996	148.0816
0.2017	149.8708
0.2038	151.2075
0.2051	152.4124
0.2065	153.2559
0.2092	154.9576
0.2107	156.4416
0.2133	158.214
0.2142	158.7301
0.2154	159.6232
0.2172	160.81
0.2197	162.7639
0.2211	163.727
0.2226	164.8627
0.2246	166.337
0.2264	167.5327
0.2282	169.3217
0.2302	170.4282
0.2311	171.0703
0.2326	172.1879
0.2347	173.7625
0.2369	175.2271
0.238	176.2758
0.2397	177.5253
0.2419	178.8716
0.2435	180.2825
0.2458	182.0317
0.247	182.6532
0.2481	183.4378
0.2499	184.7757
0.2524	186.6152
0.254	187.6128
0.2554	188.7177
0.2575	190.251
0.259	191.3777
0.2609	192.9064
0.263	194.4217
0.2639	194.8884
0.2656	195.6896
0.2674	197.5164
0.2697	199.2109
0.271	200.0419
0.2725	201.1507
0.2748	202.9729
0.2759	203.6556
0.2785	205.4485
0.2797	206.3823
0.2808	207.0868
0.2826	208.3608
0.2848	210.0783
0.2863	211.3339
0.2878	212.077
0.2899	213.6701
0.2914	215.0146
0.2934	216.1167
0.2958	218.126
0.2965	218.4828
0.2979	219.6096
0.3	220.6055
0.3022	222.3941
0.3035	223.4269
0.3051	224.6053
0.3074	226.3427
0.3086	227.1227
0.3112	228.6358
0.3125	229.5542
0.3135	230.6118
0.3152	231.8534
0.3176	232.9406
0.3192	234.4866
0.3206	235.6751
0.3226	236.9055
0.3243	237.9054
0.326	239.0441
0.3286	240.6954
0.3293	241.2993
0.3308	242.6905
0.3328	244.076
0.335	244.8838
0.3362	245.9153
0.338	247.3076
0.3403	249.181
0.3416	249.5439
0.3441	251.4081
0.3454	252.4754
0.3465	253.0587
0.3483	254.1192
0.3507	255.7355
0.3525	256.776
0.3537	257.403
0.3557	259.2281
0.3576	260.6308
0.3594	261.3889
0.3617	262.6702
0.3627	263.0749
0.3641	264.62
0.3662	265.8011
0.3686	267.4317
0.3697	268.0402
0.3715	269.1546
0.374	270.3002
0.3753	271.3325
0.3779	273.1309
0.3794	273.6643
0.3806	274.0411
0.3825	275.3391
0.3849	277.5522
0.3867	277.9109
0.3883	278.5353
0.3904	280.1783
0.3922	281.3396
0.3941	282.1419
0.397	283.7675
0.3978	283.8433
0.3993	285.0642
0.4015	286.194
0.404	287.4404
0.4052	288.2243
0.4072	289.5247
0.4097	290.416
0.411	291.092
0.4137	292.9062
0.4157	293.8402
0.4169	294.1184
0.4187	294.4426
0.4214	295.9758
0.4236	297.511
0.4251	298.2553
0.4275	298.932
0.4296	299.7538
0.4315	300.5549
0.4345	302.5841
0.4356	302.7862
0.4371	303.0131
0.4396	304.3566
0.4424	305.3896
0.4441	306.0199
0.4461	306.4262
0.4488	307.5946
0.4506	308.5345
0.4535	310.091
0.4558	311.0733
0.4573	311.1302
0.4595	311.158
0.4624	312.1785
0.4649	313.5109
0.4667	314.2247
0.4695	315.1096
0.4719	315.6418
0.474	316.1905
0.4774	317.2652
0.479	317.2513
0.4808	317.7229
0.4835	318.7191
0.4868	319.5976
0.4889	319.7974
0.4914	320.3607
0.4945	321.893
0.4966	322.2304
0.4998	323.1473
0.503	323.1581
0.5046	323.158
0.5071	323.427
0.5103	325.3119
0.5135	325.7793
0.5157	326.0934
0.5187	327.0442
0.522	327.7229
0.5245	327.9151
0.5284	328.3984
0.5305	328.2996
0.5329	328.4818
0.5359	329.1675
0.5395	329.8983
0.5424	330.1765
0.5452	330.8302
0.5489	331.4404
0.5516	331.4994
0.5552	332.1323
0.5587	332.7195
0.5612	332.505
0.564	333.1743
0.5679	334.0056
0.5715	334.6997
0.5742	334.6487
0.5775	334.9504
0.5813	335.4815
0.5846	335.5805
0.5888	336.0754
0.5918	336.0188
0.5944	336.0218
0.5981	336.3263
0.6019	337.4755
0.6051	337.5109
0.6081	337.7403
0.6123	338.4933
0.616	338.6908
0.6201	339.5851
0.6241	339.642
0.6269	339.4138
0.63	339.62
0.6342	340.0127
0.6385	340.1412
0.6412	340.0816
0.6448	340.158
0.6492	340.9257
0.6529	341.1968
0.6578	341.9037
0.6609	341.4065
0.6641	341.3496
0.6677	341.7516
0.6725	342.5623
0.6762	342.4696
0.6797	342.5452
0.6837	342.9599
0.688	343.2504
0.6921	343.8314
0.6966	344.129
0.6998	343.6689
0.7034	343.9227
0.7077	344.2943
0.7122	344.4876
0.7155	344.3497
0.7193	344.4482
0.7243	344.8938
0.7281	344.8754
0.733	345.3995
0.7367	344.9926
0.74	344.8082
0.7438	345.1799
0.7487	346.0005
0.7527	346.0464
0.7567	346.0687
0.761	346.3452
0.7653	346.3921
0.7696	346.8143
0.7745	347.7989
0.7777	346.579
0.7817	346.7857
0.786	347.7689
0.7909	348.055
0.7947	347.969
0.7988	348.0393
0.8037	348.0912
0.8076	348.0753
0.8125	348.3654
0.8167	348.1498
0.8202	348.076
0.8244	348.1686
0.829	348.5464
0.8335	348.6148
0.8374	348.5442
0.842	348.9768
0.8465	348.9963
0.8508	349.34
0.8564	350.1902
0.8596	349.0029
0.8637	349.0696
0.8682	349.9867
0.8731	350.418
0.8769	350.1814
0.881	350.2846
0.8861	350.6521
0.8899	350.4557
0.8954	351.1865
0.8996	350.6703
0.9032	350.4495
0.9072	350.5851
0.9125	351.3079
0.9171	351.241
0.921	351.1069
0.9254	351.4051
0.9302	351.4554
0.9347	351.6389
0.94	352.0295
0.9435	351.4196
0.9473	351.4037
0.952	351.7116
0.957	352.1854
0.9609	351.9038
0.9651	352.0202
0.9704	352.3832
0.9742	352.2264
0.9797	352.5388
0.9841	352.3952
0.9877	352.1705
0.9918	352.2659
0.997	352.6281
1.0017	352.6086
1.0058	352.527
1.0102	352.6345
1.0149	352.8188
1.0195	352.9923
1.025	353.3936
1.0287	352.6949
1.0326	352.6216
1.0373	353.0462
1.0425	353.4997
1.0465	353.2284
1.0508	353.3186
1.0558	353.7135
1.0597	353.4364
1.0653	354.0518
1.0699	353.7642
1.0736	353.4021
1.0779	353.4863
1.083	354.1117
1.0879	354.0609
1.0918	353.852
1.0966	354.2675
1.1011	354.2867
1.1056	354.3687
1.1113	355.2021
1.1149	354.2586
1.1189	354.0715
1.1235	354.5602
1.1289	355.2765
1.1331	354.7706
1.1376	354.8454
1.1426	355.5399
1.1466	354.9929
1.1519	356.0144
1.1568	355.7751
1.1605	354.9388
1.1647	355.1986
1.1701	356.0567
1.1747	356.1071
1.1791	355.8328
1.1838	356.1606
1.1884	356.2114
1.1927	356.1674
1.1986	356.4124
1.2025	356.1859
1.2064	355.9398
1.2111	356.3128
1.2165	356.4084
1.2204	356.3815
1.2248	356.3933
1.2301	356.4215
1.2339	356.3989
1.2393	356.5063
1.2445	356.4646
1.248	356.3933
1.2522	356.4038
1.2574	356.5336
1.2622	356.6191
1.2663	356.4766
1.2709	356.6184
1.2758	356.6372
1.2802	356.5868
1.286	357.5043
1.29	356.6346
1.294	356.5349
1.2986	356.7469
1.3039	357.4772
1.3081	356.9927
1.3125	357.0279
1.3178	357.7904
1.322	357.1793
1.3269	357.825
1.332	358.0688
1.3357	357.1146
1.3399	357.2096
1.345	358.0154
1.3501	358.5286
1.3543	357.8809
1.3589	358.3239
1.3639	358.5948
1.3683	358.3919
1.3739	359.1409
1.3779	358.5042
1.3817	358.0055
1.3863	358.6286
1.3916	359.2249
1.3959	358.8897
1.4003	358.8188
1.4056	359.3695
1.4101	359.1427
1.4151	359.3632
1.4202	359.4935
1.4239	358.9453
1.428	358.9847
1.433	359.4279
1.4382	359.7782
1.4421	359.331
1.4465	359.4482
1.4518	359.9379
1.4563	359.8307
1.462	360.338
1.4662	359.8184
1.4701	359.4317
1.4746	359.843
1.4799	360.2752
1.4842	360.0229
1.4883	359.898
1.4934	360.4486
1.4983	360.4082
1.5035	360.6197
1.5084	360.5559
1.5122	360.1077
1.5163	360.0916
1.5213	360.5443
1.5264	360.6649
1.5304	360.4458
1.5347	360.4735
1.5402	360.7637
1.5448	360.734
1.5503	360.9702
1.5541	360.6346
1.558	360.523
1.5622	360.6095
1.5677	360.92
1.5723	360.8149
1.5765	360.7606
1.5813	360.8972
1.5861	360.9272
1.591	361.049
1.596	361.1762
1.5997	360.8592
1.604	360.8646
1.6088	361.0473
1.6142	361.3759
1.6182	361.0332
1.6225	361.0791
1.6281	361.5501
1.6324	361.4115
1.6377	361.7234
1.6419	361.312
1.646	361.0706
1.6503	361.2462
1.6554	361.6703
1.6601	361.6448
1.6645	361.5783
1.6694	361.8021
1.674	361.7161
1.6789	361.8876
1.6842	362.2369
1.6878	361.6255
1.6919	361.6151
1.6968	361.9235
1.7019	362.2864
1.7061	361.9884
1.7106	362.0811
1.7156	362.4932
1.7198	362.1793
1.7252	362.77
1.7297	362.4196
1.7334	362.0665
1.7379	362.2094
1.7431	362.6635
1.7477	362.7039
1.7521	362.5321
1.7568	362.8485
1.7616	362.8016
1.766	362.867
1.7718	363.4058
1.7751	362.6568
1.7795	362.6309
1.7844	362.9696
1.7895	363.4245
1.7935	362.9825
1.7978	363.0188
1.8032	363.7734
1.8073	363.228
1.813	364.2996
1.8175	363.5741
1.8211	363.0203
1.8255	363.2244
1.8307	364.0196
1.8355	363.9669
1.8398	363.6921
1.8445	364.0954
1.8492	364.1674
1.854	364.4118
1.8597	364.8387
1.8632	363.9832
1.8674	363.7876
1.872	364.2814
1.8773	364.7748
1.8814	364.4488
1.8858	364.4915
1.891	364.9036
1.8953	364.699
1.9007	365.006
1.9053	364.8593
1.9091	364.4651
1.9134	364.582
1.9184	364.9739
1.9234	364.9715
1.9274	364.8743
1.932	364.9688
1.9369	365.0138
1.9416	365.0381
1.9473	365.1985
1.9508	364.9579
1.9548	364.9059
1.9595	365.0264
1.9651	365.2655
1.969	365.046
1.9735	365.0559
1.9788	365.363
1.9828	365.0821
1.9883	365.6522
1.993	365.3293
1.9967	365.0473
2.001	365.0718
2.0061	365.5096
2.0109	365.5223
2.0148	365.2941
2.0197	365.5797
2.0243	365.5492
2.0289	365.6601
2.0348	366.5938
2.0383	365.4789
2.0422	365.2759
2.0469	365.7655
2.0522	366.5281
2.0563	366.0229
2.0607	366.0932
2.066	366.6242
2.0699	366.061
2.0753	366.8998
2.0802	366.7264
2.0837	365.9509
2.088	366.2477
2.0933	366.8981
2.0979	366.9066
2.102	366.6536
2.1069	366.9274
2.1115	366.9363
2.1158	366.8912
2.1217	367.3842
2.1254	366.9054
2.1293	366.6548
2.1339	366.9569
2.1393	367.3485
2.1436	367.07
2.148	367.0982
2.1532	367.4059
2.1574	367.1429
2.1624	367.5615
2.1673	367.4839
2.1707	367.0193
2.1751	367.0796
2.1799	367.4402
2.1849	367.6426
2.189	367.3627
2.1937	367.5767
2.1984	367.6044
2.2025	367.4851
2.2083	368.2733
2.2121	367.5786
2.2158	367.3566
2.2204	367.7089
2.2257	368.223
2.2299	367.8557
2.2342	367.883
2.2394	368.3024
2.2433	367.9718
2.2483	368.3001
2.2532	368.3916
2.2568	367.8748
2.2611	367.9595
2.2658	368.3188
2.2711	368.5183
2.275	368.3057
2.2796	368.4508
2.2847	368.5235
2.2889	368.4476
2.2942	368.6859
2.2981	368.468
2.3019	368.2896
2.3066	368.492
2.3119	368.7045
2.3162	368.5682
2.3205	368.5503
2.3258	368.897
2.33	368.6164
2.3348	368.7829
2.3398	368.9651
2.3434	368.5559
2.3474	368.5575
2.3524	368.8659
2.3576	369.2822
2.3613	368.696
2.366	368.8313
2.3711	369.3805
2.3753	369.2283
2.3808	369.8279
2.3848	369.179
2.3886	368.7681
2.393	369.1818
2.3984	369.6785
2.4026	369.4337
2.4067	369.2636
2.4119	369.9111
2.4165	369.8507
2.4216	370.0834
2.4261	370.0035
2.43	369.4394
2.434	369.3882
2.4389	369.9319
2.4441	370.1781
2.4481	369.833
2.4522	369.8463
2.4574	370.4151
2.462	370.3275
2.4674	370.912
2.4712	370.1092
2.4749	369.9164
2.4794	370.0259
2.485	370.7711
2.4894	370.5211
2.4934	370.333
2.4981	370.6209
2.5028	370.7263
2.5076	370.9593
2.5125	371.1284
2.516	370.5175
2.5204	370.5035
2.5251	370.9139
2.5304	371.3201
2.5342	370.8309
2.5384	370.8847
2.544	371.4609
2.5481	371.2682
2.5535	371.8708
2.5574	371.1698
2.5613	370.8182
2.5656	371.0751
2.5707	371.5706
2.5751	371.5676
2.5794	371.3667
2.5841	371.8287
2.5886	371.742
2.5931	371.9053
2.5985	372.306
2.602	371.5094
2.6061	371.4478
