MTS25	Tensile Strength
-0.0001	-0.1908
0	-0.1223
0.0008	0.3729
0.0028	1.5382
0.0058	3.5458
0.0088	6.0645
0.0104	6.5696
0.013	8.402
0.0144	9.7565
0.0171	11.3254
0.0185	12.2617
0.0196	12.9971
0.0215	14.2842
0.0238	15.9865
0.0259	17.6455
0.0272	18.4286
0.0293	19.455
0.0313	21.2022
0.033	22.6347
0.0354	23.93
0.0364	24.5099
0.0379	25.7297
0.0399	27.0651
0.0424	28.8412
0.0437	29.7882
0.0454	30.8232
0.0479	32.4607
0.0492	33.6834
0.0516	35.1427
0.0534	36.2977
0.0544	36.8558
0.0562	38.2481
0.0586	39.8477
0.0603	40.9876
0.0619	42.1701
0.0637	43.4052
0.0659	44.8247
0.0677	46.1184
0.0703	47.7889
0.0711	48.2155
0.0723	49.2579
0.0745	50.8457
0.0769	52.327
0.0782	53.0979
0.0798	54.5562
0.0821	56.042
0.0835	56.7631
0.0862	58.9103
0.0878	59.7757
0.0887	60.5731
0.0905	61.5618
0.0927	63.1404
0.0949	64.5594
0.096	65.2927
0.0978	67.0001
0.1001	68.1938
0.1016	69.1393
0.1042	71.2405
0.1051	71.6433
0.1063	72.534
0.1082	73.6468
0.1107	75.4027
0.1122	76.3295
0.1137	77.7557
0.1159	79.1799
0.1174	79.9625
0.1198	81.4268
0.1217	82.9403
0.1226	83.7956
0.1241	84.5227
0.1264	86.0053
0.1285	87.3605
0.1298	88.4068
0.1316	89.7061
0.1337	91.0267
0.1351	92.1622
0.1377	93.7833
0.1388	94.4188
0.1401	95.4001
0.1419	96.5104
0.1444	98.1116
0.1457	99.1058
0.1473	100.3447
0.1495	101.8948
0.1507	102.5531
0.1532	104.3186
0.1549	105.5233
0.1557	106.0654
0.1574	106.943
0.1596	108.5464
0.1615	110.0656
0.1628	110.8674
0.1647	112.0611
0.1667	113.4257
0.168	114.4697
0.1707	116.3514
0.1716	117.0055
0.1728	117.4498
0.1749	118.9151
0.1773	120.5117
0.1785	121.1958
0.1801	122.7238
0.1822	123.7281
0.1837	124.9719
0.1858	126.309
0.1878	127.5854
0.1886	128.3872
0.1901	129.145
0.1922	130.7908
0.1943	131.9214
0.1956	132.9863
0.1974	134.1762
0.1994	135.442
0.2008	136.4244
0.2034	138.1447
0.2043	138.8612
0.2055	139.5735
0.2073	141.0586
0.2097	142.3806
0.2111	143.4294
0.2127	144.5146
0.2148	145.6659
0.2162	146.8907
0.2182	148.0357
0.2203	149.696
0.2209	150.0572
0.2225	151.1165
0.2247	152.4904
0.2269	153.9044
0.2279	154.4945
0.2299	156.0487
0.2317	157.0823
0.2331	158.0697
0.2354	159.9547
0.2366	160.4681
0.2378	161.3998
0.2394	162.3648
0.2417	164.0591
0.2434	165.1675
0.2447	166.0732
0.2467	167.4462
0.2484	168.2362
0.2503	169.5991
0.2522	170.7895
0.2531	171.6122
0.2545	172.5227
0.2567	173.839
0.2588	175.2777
0.2599	176.3502
0.2617	177.4181
0.264	178.8181
0.2652	179.418
0.2675	181.2611
0.2689	181.8598
0.2697	182.7384
0.2715	184.0526
0.2736	185.2464
0.2755	186.4038
0.2769	187.2093
0.2786	188.8036
0.2805	189.9209
0.2824	190.9713
0.2843	192.7225
0.2852	193.0025
0.2865	193.8038
0.2885	195.2114
0.2908	196.7079
0.2917	197.4097
0.2936	198.4981
0.2959	199.9251
0.2971	201.1899
0.2994	202.5463
0.3007	203.2396
0.3016	203.841
0.3032	205.0331
0.3055	206.306
0.3073	207.5276
0.3085	208.2881
0.3103	209.8576
0.3122	210.804
0.3141	211.8847
0.3161	213.5313
0.3168	214.0313
0.3182	215.0805
0.3202	216.0773
0.3226	217.6021
0.3236	218.2865
0.3251	219.0913
0.3272	220.7742
0.3287	221.8867
0.3309	222.9517
0.3324	223.9563
0.3334	224.4545
0.335	226.0598
0.3374	227.4107
0.3388	228.0429
0.3401	228.7421
0.3421	230.316
0.344	231.5805
0.3457	232.7025
0.348	234.1402
0.3486	234.6005
0.3501	235.2534
0.352	236.5172
0.3543	238.2957
0.3554	239.2203
0.3569	239.7428
0.3592	241.053
0.3604	241.8602
0.3627	243.5835
0.3642	244.3215
0.3651	244.9372
0.3668	246.0239
0.369	247.3974
0.3708	248.4143
0.3721	249.4058
0.374	250.6255
0.3759	251.7578
0.3772	252.2814
0.3798	253.8965
0.3807	254.4396
0.382	255.486
0.3841	256.284
0.3865	257.9184
0.3878	258.6323
0.3895	259.5967
0.3918	260.9102
0.3932	261.5191
0.3955	263.0036
0.3971	264.1609
0.3982	264.3539
0.3999	265.0623
0.4024	266.7693
0.4043	267.7912
0.4058	268.2288
0.4078	269.2645
0.41	270.5772
0.4118	271.3636
0.4147	272.7476
0.4156	272.8653
0.4172	273.4478
0.4195	274.8547
0.4224	276.4679
0.4238	276.7416
0.4259	277.2222
0.4286	278.4828
0.4303	278.9199
0.4334	280.5982
0.4355	281.185
0.4369	281.4636
0.4389	282.5158
0.4419	283.5575
0.4445	284.3311
0.4463	284.6736
0.4488	285.3406
0.4518	286.5414
0.4539	287.2025
0.4578	288.9774
0.4593	289.0238
0.4614	289.2265
0.4639	289.5084
0.4675	290.9152
0.4698	291.3411
0.4721	292.2514
0.4754	293.1779
0.4778	293.49
0.4812	294.5536
0.4843	294.9855
0.4861	295.1232
0.4884	295.3392
0.4917	296.72
0.4951	297.4758
0.4975	297.622
0.5003	298.0082
0.504	299.3984
0.5067	299.7602
0.5108	300.9995
0.5132	300.955
0.5154	301.1892
0.5184	301.2894
0.5221	302.0432
0.5251	302.3481
0.5279	303.1485
0.5315	303.8889
0.5342	304.117
0.538	305.3859
0.5417	305.8156
0.5439	305.8138
0.5466	306.0957
0.5502	306.733
0.5544	307.3786
